28-09-2015	110850
28-09-2015	1129
29-09-2015	1450
29-09-2015	14,4
29-09-2015	109900
29-09-2015	1126
30-09-2015	14,7
30-09-2015	109400
30-09-2015	1116
01-10-2015	1425
01-10-2015	14,55
01-10-2015	107750
01-10-2015	1114
02-10-2015	14,5
02-10-2015	107900
02-10-2015	1129
05-10-2015	13,62
05-10-2015	1486
05-10-2015	1008
05-10-2015	108900
05-10-2015	1135
06-10-2015	1500
06-10-2015	15,5
06-10-2015	109250
06-10-2015	1142
07-10-2015	1500
07-10-2015	15,6
07-10-2015	108600
07-10-2015	1150,65
08-10-2015	1494
08-10-2015	108000
08-10-2015	1137
09-10-2015	15,85
09-10-2015	107470
09-10-2015	1153
12-10-2015	1512
12-10-2015	15,9
12-10-2015	109300
12-10-2015	1167
13-10-2015	109600
13-10-2015	1158,7
14-10-2015	1519
14-10-2015	16,05
14-10-2015	109800
14-10-2015	1171,6
15-10-2015	1513
15-10-2015	16,05
15-10-2015	109700
15-10-2015	1180,5
16-10-2015	1500
16-10-2015	16
16-10-2015	109500
16-10-2015	1179,8
19-10-2015	1484
19-10-2015	108800
19-10-2015	1175,3
20-10-2015	1490
20-10-2015	16
20-10-2015	109150
20-10-2015	1174,45
21-10-2015	1470
21-10-2015	16
21-10-2015	109500
21-10-2015	1175,7
22-10-2015	1477
22-10-2015	16
22-10-2015	108250
22-10-2015	1166,7
23-10-2015	108220
23-10-2015	1178,5
26-10-2015	1487
26-10-2015	15,88
26-10-2015	1054
26-10-2015	108170
26-10-2015	1164,5
27-10-2015	1475
27-10-2015	108500
27-10-2015	1167,3
30-10-2015	1480
30-10-2015	15,55
30-10-2015	108150
30-10-2015	1142
02-11-2015	1411
02-11-2015	15
02-11-2015	102650
02-11-2015	1138,2
03-11-2015	14
03-11-2015	1401
03-11-2015	1030
03-11-2015	103100
03-11-2015	1132
04-11-2015	101950
04-11-2015	1116,6
05-11-2015	1398
05-11-2015	15
05-11-2015	102320
05-11-2015	1108
06-11-2015	1390
06-11-2015	15,05
06-11-2015	102350
06-11-2015	1109,2
09-11-2015	1398
09-11-2015	14,75
09-11-2015	102300
09-11-2015	1092,8
10-11-2015	1355
10-11-2015	14,5
10-11-2015	102200
10-11-2015	1092
11-11-2015	1350
11-11-2015	14,65
11-11-2015	100900
11-11-2015	1089
12-11-2015	1325
12-11-2015	14,4
12-11-2015	100350
12-11-2015	1080
13-11-2015	1350
13-11-2015	14,35
13-11-2015	100000
13-11-2015	1083
16-11-2015	1340
16-11-2015	100900
16-11-2015	1091,5
17-11-2015	14,26
17-11-2015	98900
